"","Plot","SHANNON"
"1","IS1",3.43189636638613
"2","IS10",3.41413151832672
"3","IS11",3.4033661686367
"4","IS12",3.32173429351807
"5","IS13",3.53415487596926
"6","IS14",3.39032393895351
"7","IS15",3.19944943015167
"8","IS2",2.99355868750843
"9","IS3",3.34054441867226
"10","IS4",2.75316359673094
"11","IS5",3.54390417858196
"12","IS6",3.56252451666588
"13","IS7",3.12636430490569
"14","IS8",3.34503138509845
"15","IS9",3.49892885345171
"16","OP1",3.52747858803785
"17","OP10",3.41489619987854
"18","OP11",3.4632679809131
"19","OP12",3.39029198043164
"20","OP13",3.45884991169978
"21","OP14",3.43307044707322
"22","OP15",3.09456372778326
"23","OP2",2.91516707817631
"24","OP3",2.66302681179465
"25","OP4",2.4230943246572
"26","OP5",3.05619444386804
"27","OP6",3.23760080297901
"28","OP7",3.27556579374853
"29","OP8",3.10671204589283
"30","OP9",3.40614749657188
"31","PS1",3.62015081196887
"32","PS10",3.52277113583601
"33","PS11",3.34707449975076
"34","PS12",3.47875593484438
"35","PS13",3.34951530452832
"36","PS14",3.36282647429623
"37","PS15",3.22209113128676
"38","PS2",3.07542574220187
"39","PS3",3.62783645244644
"40","PS4",3.45243546652198
"41","PS5",3.6127757986054
"42","PS6",3.54707986535139
"43","PS7",3.14018094434248
"44","PS8",3.44779841603653
"45","PS9",3.46456895985513
"46","RP1",3.85494517257469
"47","RP10",4.06573250342693
"48","RP11",3.71248541350566
"49","RP12",3.69627709755721
"50","RP13",3.3323516382603
"51","RP14",3.41768067496506
"52","RP15",3.77022525376114
"53","RP2",4.07164927087106
"54","RP3",3.68049863627478
"55","RP4",3.82875412775851
"56","RP5",3.83059980841977
"57","RP6",3.77454801232111
"58","RP7",3.81984021369
"59","RP8",4.16008509562821
"60","RP9",4.06564425057689
"61","TP1",3.52642096483912
"62","TP10",3.31268329226083
"63","TP11",3.45091875556483
"64","TP12",3.37473758547619
"65","TP13",3.66688563517209
"66","TP14",3.27321406369676
"67","TP15",2.74865266751448
"68","TP2",3.58048377785521
"69","TP3",3.52128810062006
"70","TP4",3.28517283488852
"71","TP5",3.68394419816854
"72","TP6",3.65374333986881
"73","TP7",3.4341289907056
"74","TP8",3.23421236311975
"75","TP9",3.07131014199118
