"","Treatment","Community","Shannon","soil_C","soil_N","soil_P","soil_pH","soil_sal","soil_wat","biomass_above","plant_dens","leaf_N","leaf_C","leaf_P"
"1","OP1","OP",3.52747858803785,24.07,1.27,0.0419,8.76,0.14,33.77,1700.4,48,17.44,414.94,1.02
"2","OP2","OP",2.91516707817631,21.23,1.33,0.0488,8.68,0.13,34.71,2056.92,44,14.93,389.38,1.14
"3","OP3","OP",2.66302681179465,18.83,1.07,0.039,8.73,0.1,31.97,1807,52,15.95,417.39,0.92
"4","OP4","OP",2.4230943246572,20.76,1.54,0.0432,8.51,0.15,38.69,1373.92,68,14.32,413.3,0.91
"5","OP5","OP",3.05619444386804,19.03,1.39,0.0296,8.58,0.13,38.16,1424.8,52,17.02,419.38,1.05
"6","OP6","OP",3.23760080297901,19.75,1.53,0.0423,8.31,0.14,43.18,2113.04,24,16.57,401.88,0.86
"7","OP7","OP",3.27556579374853,25.65,1.75,0.0603,8.31,0.16,43.59,2111.2,60,19.12,404.6,0.91
"8","OP8","OP",3.10671204589283,14.96,0.84,0.0316,8.82,0.09,29.25,1024,88,16.29,416.45,1.05
"9","OP9","OP",3.40614749657188,15.33,0.79,0.0482,8.65,0.14,28.57,1044.08,88,16.9,415.52,0.91
"10","OP10","OP",3.41489619987854,13.57,0.73,0.0559,8.85,0.07,25.51,1511.48,52,14.46,400.24,0.89
"11","OP11","OP",3.4632679809131,13.67,0.63,0.0499,8.86,0.07,30.2,1341.4,56,24.15,411.27,0.96
"12","OP12","OP",3.39029198043164,17.41,1.14,0.0588,8.61,0.1,33.15,1189.72,84,15.03,407.73,0.85
"13","OP13","OP",3.45884991169978,14.43,0.74,0.0467,8.72,0.07,31.73,1820.96,100,12.41,400.8,1.01
"14","OP14","OP",3.43307044707322,14.17,0.79,0.0518,8.88,0.07,27.48,2022.88,112,18.34,439.97,1.06
"15","OP15","OP",3.09456372778326,17.02,1.13,0.0496,8.63,0.09,32.01,2134.6,36,18.34,427.08,0.78
"16","RP1","RP",3.85494517257469,17.53,1.2,0.0619,8.77,0.35,41.17,1475,84,23.79,413.31,1.19
"17","RP2","RP",4.07164927087106,13.97,0.73,0.0403,9.18,0.14,26.87,1021.4,40,24.07,407.22,1.2
"18","RP3","RP",3.68049863627478,15.06,0.81,0.056,9.15,0.11,27.34,1414.8,32,27.13,407.62,0.98
"19","RP4","RP",3.82875412775851,15.2,0.82,0.0136,8.97,0.25,31.75,2133.4,76,20.36,393.75,1.05
"20","RP5","RP",3.83059980841977,21.27,1.51,0.0617,8.88,0.29,37.64,760.92,84,25.88,422.34,0.91
"21","RP6","RP",3.77454801232111,14.87,0.76,0.0586,9.02,0.16,29.63,1396.04,40,23.75,409.61,1
"22","RP7","RP",3.81984021369,14.24,0.73,0.0402,8.85,0.23,32.19,1167.44,76,24.27,410.99,1.05
"23","RP8","RP",4.16008509562821,13.39,0.69,0.0492,9.08,0.11,27.18,932.52,28,26.03,403.74,1.04
"24","RP9","RP",4.06564425057689,14.01,0.74,0.0167,8.96,0.22,31.23,1312,52,28.88,416.38,0.96
"25","RP10","RP",4.06573250342693,13.9,0.67,0.0305,8.96,0.17,27.75,1973.32,64,22.31,393.29,1.05
"26","RP11","RP",3.71248541350566,13.97,0.69,0.03,8.93,0.25,31.84,1448.2,40,23.32,385.76,0.86
"27","RP12","RP",3.69627709755721,16.05,0.98,0.0373,8.87,0.26,34.55,1977.56,80,24.93,413.36,1
"28","RP13","RP",3.3323516382603,17.44,1.35,0.0417,8.82,0.42,39.54,2024,40,21.25,394.67,0.85
"29","RP14","RP",3.41768067496506,15.44,0.81,0.0142,8.85,0.29,30.93,912,64,27.83,413.09,0.98
"30","RP15","RP",3.77022525376114,14.3,0.73,0.0323,9.09,0.13,31.42,888.2,100,26.59,416.73,0.87
"31","TP1","TP",3.52642096483912,16.74,1.18,0.0572,8.93,0.33,39.2,1282.48,188,18.26,400,0.9
"32","TP2","TP",3.58048377785521,16.66,1.21,0.0501,8.85,0.4,44.78,1123.72,148,19.09,417.09,0.97
"33","TP3","TP",3.52128810062006,17.68,1.28,0.0358,8.72,0.41,41.57,1336.24,184,19.69,419.36,0.9
"34","TP4","TP",3.28517283488852,17.24,1.21,0.0612,8.85,0.44,40.79,2104.52,272,19.21,401.14,0.9
"35","TP5","TP",3.68394419816854,17.98,1.21,0.0557,8.81,0.36,42.85,2068.16,204,17.81,410.29,0.94
"36","TP6","TP",3.65374333986881,17.47,1.15,0.056,8.72,0.46,43.98,2749.24,184,23.26,420.22,0.75
"37","TP7","TP",3.4341289907056,17.88,1.25,0.0687,8.67,0.36,44.55,794.44,88,21.1,386.35,0.87
"38","TP8","TP",3.23421236311975,18.96,1.35,0.0474,8.5,0.64,47.07,1833.6,80,18.05,395.9,1.01
"39","TP9","TP",3.07131014199118,17.91,1.24,0.0583,8.79,0.4,42.11,2009.6,84,16.14,385.98,0.83
"40","TP10","TP",3.31268329226083,15.25,0.93,0.0509,8.9,0.24,34.99,1747.72,104,17.64,395.06,1.01
"41","TP11","TP",3.45091875556483,18.46,1.27,0.053,8.64,0.36,43.26,2104.08,164,17.93,382.56,0.77
"42","TP12","TP",3.37473758547619,20.01,1.39,0.0231,8.6,0.47,41.88,1828.24,112,16.82,394.79,0.85
"43","TP13","TP",3.66688563517209,19.68,1.35,0.0633,8.65,0.4,45.75,1783.56,184,17.73,391.9,0.87
"44","TP14","TP",3.27321406369676,18.34,1.4,0.0508,8.69,0.41,43.31,2164.32,252,16.13,401.23,0.79
"45","TP15","TP",2.74865266751448,17.46,1.21,0.0249,8.73,0.35,42.53,2003.96,196,19.52,402.99,0.74
"46","IS1","IS",3.43189636638613,18.07,1.22,0.0533,8.6,0.49,40.38,4788.8,288,9.59,381.13,0.78
"47","IS2","IS",2.99355868750843,21.3,1.62,0.0665,8.46,0.75,47.59,3104.48,352,8.28,392.43,0.73
"48","IS3","IS",3.34054441867226,23.25,1.78,0.0625,8.35,0.86,49.86,5273.76,480,8.96,382.7,0.85
"49","IS4","IS",2.75316359673094,24.46,1.85,0.064,8.33,0.65,50.37,4394.56,464,11.72,392.32,0.82
"50","IS5","IS",3.54390417858196,19.66,1.41,0.0636,8.48,0.59,45.59,7194.4,464,8.92,392.95,0.77
"51","IS6","IS",3.56252451666588,21.57,1.56,0.0619,8.53,0.57,46.73,2153.12,224,9.68,395.13,0.76
"52","IS7","IS",3.12636430490569,20.22,1.49,0.0564,8.44,0.57,45.34,4166.56,272,9.38,399.93,0.87
"53","IS8","IS",3.34503138509845,18.76,1.45,0.0595,8.55,0.5,42.65,2988.64,192,9.21,395.09,0.79
"54","IS9","IS",3.49892885345171,21.15,1.6,0.0666,8.53,0.49,43.82,3906.72,352,10.61,389.05,0.86
"55","IS10","IS",3.41413151832672,18.29,1.39,0.0507,8.5,0.48,44,4973.76,192,14.35,384.7,0.77
"56","IS11","IS",3.4033661686367,18.67,1.5,0.0493,8.52,0.47,44.32,3476.96,160,10.82,363.17,0.79
"57","IS12","IS",3.32173429351807,18.9,1.37,0.058,8.47,0.61,46.62,4619.2,176,12.19,358.36,0.82
"58","IS13","IS",3.53415487596926,16.66,1.33,0.043,8.59,0.48,41.09,4272.8,208,10.56,385.36,0.76
"59","IS14","IS",3.39032393895351,20.52,1.53,0.0557,8.44,0.62,47.22,5383.36,288,13.48,379.58,0.76
"60","IS15","IS",3.19944943015167,17.21,1.31,0.059,8.56,0.61,44.92,2237.12,160,12.36,383.24,1.43
"61","PS1","PS",3.62015081196887,14.33,0.54,0.0308,8.73,0.57,29.38,1316.2,72,17.71,408.26,0.86
"62","PS2","PS",3.07542574220187,18.66,1.17,0.0496,8.48,0.53,37.11,1472.84,136,21.05,403.48,0.81
"63","PS3","PS",3.62783645244644,14.25,0.48,0.0309,8.97,0.43,26.02,980.96,84,22.02,409.67,0.82
"64","PS4","PS",3.45243546652198,15.08,1.08,0.0407,9.18,0.27,25.29,1627.96,28,22.39,400.5,1.06
"65","PS5","PS",3.6127757986054,16.72,1.09,0.0552,8.73,0.43,26.6,1509.04,56,21.67,435.01,0.8
"66","PS6","PS",3.54707986535139,12.66,0.49,0.0421,8.88,0.53,25.11,1648.92,196,25.18,430.53,1.07
"67","PS7","PS",3.14018094434248,14.33,0.67,0.05,9.08,0.2,24.65,1524.12,76,18.98,408.67,0.89
"68","PS8","PS",3.44779841603653,13.4,0.53,0.0469,8.91,0.4,27.07,1403.72,120,25.62,423.26,0.72
"69","PS9","PS",3.46456895985513,13.94,0.73,0.0515,8.92,0.37,24.45,1305.56,92,24.89,427.16,0.78
"70","PS10","PS",3.52277113583601,14.8,0.82,0.0583,8.72,0.45,28.37,1544.08,124,24.72,416.45,1.05
"71","PS11","PS",3.34707449975076,12.57,0.51,0.0276,9,0.32,21.96,1037.08,128,20.63,439.31,0.89
"72","PS12","PS",3.47875593484438,13.36,0.69,0.047,8.89,0.53,23.98,1621.96,88,19.88,400.46,1.07
"73","PS13","PS",3.34951530452832,13.33,0.6,0.0484,8.83,0.4,22.84,1046.48,180,16.8,420.09,0.9
"74","PS14","PS",3.36282647429623,14.44,0.81,0.0515,9.01,0.24,19.64,1150.88,96,16.71,396.2,0.82
"75","PS15","PS",3.22209113128676,13.78,0.74,0.0481,9.43,0.14,19.77,1568,120,17.4,398.1,0.99
